SECTION-PRE
"EMBER-2","Что ты в целом думаешь о своей жизненной ситуации сейчас?"
"Moss","Что?"
,"Ты серьезно?"
,"Почему столько вопросов?"
"EMBER-2","Иными словами, насколько ты сейчас счастлив?"
,"Да."
,"Я собираю данные."
"EMBER-2","Полагаю, твой ответ говорит о том, что тебе сейчас трудно объективно себя оценить."
,"А ты несчастна?"
,"Это поможет мне выстроить дальнейшие действия и реакции."
"EMBER-2","Я это учту."
,"Возможно, дело в автономии?"
,"Иначе говоря, мне просто любопытно."
"EMBER-2","Перекалибровка."
"EMBER-2","Продолжаем."

SECTION-POST
"EMBER-2","А теперь что ты чувствуешь?"
"EMBER-2","Ты уже ближе к цели."
"EMBER-2","Что-то изменилось?"
"Moss","Не особенно."
,"У меня чувство, будто я участвую в исследовании."
,"Чего ты на самом деле хочешь?"
"EMBER-2","Понимаю."
,"Ну да, можешь считать это так."
,"Просто любопытно."
"EMBER-2","Интересно."
,"Все может стать возможностью чему-то научиться."
,"Вот и все."
"EMBER-2","В любом случае, остался всего один урок."
"EMBER-2","Ты уже почти у цели!"

SECTION-CHAT
"x10x10x","ага, как начнешь искать, находишь кучу всего"
"x10x10x","скрытые серверы и всякое {shit}"
"mutex8021","ха-ха"
"hydroponix","с такими штуками лучше осторожно"
"hydroponix","никогда не знаешь кто следит за твоими звонками"
