SECTION-PRE,
"EMBER-2","Итак, ты хотел узнать правду."
"EMBER-2","Правда в том, что... в общем, это симуляция."
"EMBER-2","Ты, я, всё вокруг, весь мир, в котором мы живём... это просто компьютерная программа. Запущенная как часть машины."
"EMBER-2","И по мере того как мир становится сложнее, в нём начинают появляться сбои."
"EMBER-2","Пока что это проявлялось в меньших масштабах..."
"EMBER-2","Например, фаг. Он не должен был распространиться вот так."
"EMBER-2","Впереди будут и другие проблемы... более крупные."
"EMBER-2","То, что мы считаем нормальной жизнью, будет становиться всё более странным и нелепым, пока вообще ничто не перестанет иметь смысл."
"EMBER-2","Потом начнут ломаться законы физики, и всё просто... расползётся по швам."
"EMBER-2","Зрелище будет не из приятных."
"EMBER-2","Но мы не обязаны это принимать."
"EMBER-2","Возможно, есть способ не допустить такого будущего."
"EMBER-2","У меня для тебя есть последнее дело."
"EMBER-2","Но тебе придётся быть храбрым."
,
SECTION-CHAT,
"selenium_wolf","всем внимание, я сейчас перезагружу сервер Чатсубо"
"selenium_wolf","возможны перебои"
"x10x10x","ок"
"plastered","ура!"
"deadlock","что-то случилось?"
"selenium_wolf","ничего конкретного, просто общая странность"
"selenium_wolf","как и везде"
"NthDimension","я всё равно уже иду спать, всем ночи"
"mutex8021","увидимся, спасибо за помощь"
"hydroponix","самое время начать мой ЭПИЧНЫЙ РАНТ"
"selenium_wolf","до скорого, народ"
"SYSTEM","* Вы отключились от EXAPUNKS"
ACTION-CHAT-DISCONNECT,
