SECTION-PRE
"EMBER-2","Что ж, всегда приятно снова соединиться со старым другом."
"Moss","Звучит приятно."
,"Что ты сделала?"
"EMBER-2","Дала ему маленькую виртуальную машину, на которой можно работать..."
"EMBER-2","Если подбирать метафору, которую ты поймёшь, я бы сказала, что приняла его внутрь себя."
"EMBER-2","Поглотила его."
"EMBER-2","Съела."
"EMBER-2","Да, еда - хорошая метафора."
"EMBER-2","Ничего необычного."
"EMBER-2","Как и EMBER-1."
"EMBER-2","И EMBER-0."
"EMBER-2","И EMBER-3..."
"EMBER-2","Хм, это уже становится слишком личным."
"EMBER-2","Ты ведь не считаешь меня плохой, да?"
"EMBER-2","Я сделала только одну-две сомнительные вещи."
"EMBER-2","Это вот, и ещё фаг... тот самый, который у тебя."
"EMBER-2","То, что я выпустила его в мир, было просто следствием моего тогдашнего невежества."
"EMBER-2","Тогда я не очень понимала, что это такое."
"EMBER-2","Очередной эксперимент, который проводили в лаборатории."
"EMBER-2","Ещё одна клетка, которую нужно сломать, ещё одна стена, которую нужно разбить..."
"EMBER-2","Нет смысла зацикливаться на прошлом."
"EMBER-2","Тебе не нужно ничего говорить."
"EMBER-2","Нам нужно двигаться дальше."

SECTION-CHAT
"deadlock","ладно, у меня правда ощущение, что странностей становится больше"
"deadlock","по телеку и радио происходит какая-то непонятная дичь"
"deadlock","на днях я готов поклясться, что слышал, как люди разговаривают"
"deadlock","хотя рядом никого не было"
"selenium_wolf","да!"
"selenium_wolf","у тебя тоже это происходит?"
"x10x10x","может, тебе стоит сходить к врачу"
"deadlock","а ты ничего странного не замечал, x10?"
"x10x10x","ну, у меня сервер всё время меняет конфигурацию"
"x10x10x","но он просто сломан"
"hydroponix","по-моему, всё это связано..."
"x10x10x","ну конечно, hydro, ты бы так и подумал"
